GHI,GTI,TEMP,WS,WD,RH,PREC,AP,PWAT,SWE,PVOUT
190,215,22.9,2,341,81.5,0,999.3,38.7,581.11,7880.041
229,257,23.2,2,348,80.8,0,999.6,38.8,581.11,9823.568
304,336,23.5,2,354,80,0,999.8,38.9,581.11,13393.365
344,379,23.8,2,0,79.2,0,1000.1,38.9,581.11,15368.137
426,470,24.1,2.1,6,78.5,0,1000.3,39,581.11,19300.742
462,507,24.2,2.1,9,78.2,0,1000.4,38.9,581.11,20993.406
515,564,24.2,2.2,12,78,0,1000.4,38.9,581.11,23419.832
559,609,24.3,2.2,15,77.7,0,1000.5,38.9,581.11,25284.891
620,674,24.4,2.3,17,77.4,0,1000.5,39,581.11,27867.826
663,718,24.6,2.3,15,76.4,0,1000.7,39.2,581.11,29618.771
701,759,24.9,2.3,13,75.4,0,1000.9,39.4,581.11,31172.971
737,797,25.2,2.3,11,74.3,0,1001.1,39.6,581.11,32557.502
768,829,25.5,2.4,9,73.2,0,1001.3,39.8,581.11,33741.82
795,858,25.9,2.5,11,72.1,0,1001,39.8,581.11,34755.484
818,882,26.3,2.6,14,70.9,0,1000.8,39.9,581.11,35569.668
836,902,26.6,2.7,16,69.8,0,1000.5,39.9,581.11,36226.562
850,917,27,2.9,19,68.7,0,1000.3,40,581.11,36694.152
856,924,27.1,2.9,22,68.7,0,1000,40.1,581.11,36930.098
863,932,27.3,3,25,68.7,0,999.8,40.3,581.11,37176.621
864,933,27.4,3.1,28,68.7,0,999.6,40.5,581.11,37188.023
858,927,27.5,3.2,31,68.7,0,999.4,40.7,581.11,36984.73
852,922,27.6,3.3,35,68.8,0,999.1,40.8,581.11,36776.465
836,905,27.6,3.4,39,68.9,0,998.8,40.9,581.11,36187.594
705,756,27.6,3.5,42,69,0,998.5,40.9,581.11,30567.84
694,746,27.6,3.7,45,69.1,0,998.2,40.9,581.11,30202.625
681,733,27.5,3.9,46,69.8,0,997.9,40.9,581.11,29753.736
657,708,27.4,4,47,70.6,0,997.6,40.9,581.11,28805.945
620,670,27.3,4.2,48,71.3,0,997.4,40.9,581.11,27344.738
581,628,27.1,4.4,48,72.1,0,997.2,40.9,581.11,25749.812
539,584,27,4.5,45,73.2,0,997.2,40.9,581.11,24016.078
493,536,26.8,4.6,43,74.3,0,997.2,40.8,581.11,22070.857
444,480,26.6,4.8,41,75.4,0,997.2,40.8,581.11,19777.502
394,428,26.5,4.9,38,76.5,0,997.2,40.7,581.11,17581.518
345,376,26.3,4.8,37,77.5,0,997.2,40.7,581.11,15340.656
295,322,26.1,4.7,36,78.4,0,997.2,40.6,581.11,13001.739
244,267,25.8,4.6,35,79.4,0,997.2,40.6,581.11,10584.129
195,213,25.6,4.5,34,80.4,0,997.2,40.5,581.11,8197.784
148,165,25.4,4.3,32,81.6,0,997.5,40.4,581.11,6081.628
105,118,25.1,4.1,30,82.8,0,997.7,40.2,581.11,4041.633
64,72,24.9,3.8,28,84.1,0,998,40.1,581.11,1887.615
32,37,24.6,3.6,25,85.3,0,998.3,40,581.11,771.526
10,10,24.2,3.4,22,86.3,0,998.3,39.9,581.11,107.039
9,9,22.2,4.6,19,91,0,1001.4,28.3,581.11,83.973
31,36,22.3,4.7,20,90.8,0,1001.6,28.1,581.11,612.143
59,68,22.5,4.7,20,90.6,0,1001.9,27.9,581.11,1524.97
96,107,22.6,4.7,20,90.3,0,1002.1,27.7,581.11,3462.738
141,155,22.8,4.8,21,90.1,0,1002.4,27.5,581.11,5588.828
197,214,23.1,5,23,88.9,0,1002.6,27.4,581.11,8214.344
248,268,23.3,5.3,25,87.6,0,1002.9,27.4,581.11,10641.702
294,316,23.6,5.5,26,86.4,0,1003.1,27.3,581.11,12831.956
342,366,23.8,5.8,28,85.2,0,1003.3,27.2,581.11,15046.533
390,417,23.9,5.8,28,84.6,0,1003.3,27.1,581.11,17292.609
434,463,24,5.9,28,84,0,1003.3,26.9,581.11,19263.928
473,503,24.1,5.9,28,83.3,0,1003.3,26.7,581.11,20961.406
